fmi,estado,enlace
080-74331,encontrado,https://www.activosporcolombia.com/es/inmueble/22041/local-comercial-en-gestion-santa-marta-magdalena
080-61564,encontrado,https://www.activosporcolombia.com/es/inmueble/28465/lote-ubicado-sobre-la-carretera-central-del-caribe-zona-industrial
100-11713,encontrado,https://www.activosporcolombia.com/es/inmueble/16973/casa-en-venta-manizales
100-123664,no_publicado,
103-1902,no_publicado,
103-25072,no_publicado,
100-22365,encontrado,https://www.activosporcolombia.com/es/inmueble/29559/lote-en-gestion-manizales-caldas
100-40421,encontrado,https://www.activosporcolombia.com/es/inmueble/17274/casa-en-venta-manizales-caldas
100-17480,encontrado,https://www.activosporcolombia.com/es/inmueble/8042/lote-en-venta-chinchina-caldas
100-9831,encontrado,https://www.activosporcolombia.com/es/inmueble/17211/casa-en-venta-caldas-manizales
106-17827,encontrado,https://www.activosporcolombia.com/es/inmueble/21078/casa-en-venta-la-dorada
106-5661,encontrado,https://www.activosporcolombia.com/es/inmueble/16431/cl-14-4-48-52-44
114-16637,encontrado,https://www.activosporcolombia.com/es/inmueble/25351/local-comercial-en-gestion-samana-caldas
114-16638,encontrado,https://www.activosporcolombia.com/es/inmueble/25354/carrera-9-5-57-79-edificio-dona-celina-primera-planta-local-comercial-tres-2-c-9-01-15
118-12614,no_publicado,
114-16641,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/496/casa-en-gestion-samana-caldas
114-16642,encontrado,https://www.activosporcolombia.com/es/inmueble/25364/casa-en-gestion-samana-caldas
114-16640,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/496/casa-en-gestion-samana-caldas
120-85183,encontrado,https://www.activosporcolombia.com/es/inmueble/28469/casa-en-gestion-popayan-cauca
120-94196,encontrado,https://www.activosporcolombia.com/es/inmueble/3422/casa-en-gestion-popayan-cauca
118-9771,encontrado,https://www.activosporcolombia.com/es/inmueble/32468/casa-en-gestion-salamina-caldas
132-10915,encontrado,https://www.activosporcolombia.com/es/inmueble/5492/local-comercial-en-gestion-santander-de-quilichao-cauca
132-15225,encontrado,https://www.activosporcolombia.com/es/inmueble/17460/casa-en-gestion-santander-de-quilichao-cauca
132-37119,encontrado,https://www.activosporcolombia.com/es/inmueble/21080/casa-en-gestion-santander-de-quilichao-cauca
132-38151,encontrado,https://www.activosporcolombia.com/es/inmueble/20111/casa-en-gestion-santander-de-quilichao-cauca
132-6184,encontrado,https://www.activosporcolombia.com/es/inmueble/22205/casa-lote-santander-de-qulichao
132-38193,encontrado,https://www.activosporcolombia.com/es/inmueble/20129/casa-en-gestion-santander-de-quilichao-cauca
132-7621,encontrado,https://www.activosporcolombia.com/es/inmueble/27858/casa-en-gestion-santander-de-quilichao-cauca
140-118933,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/489/apartamento-en-gestion-monteria-cordoba
140-103759,encontrado,https://www.activosporcolombia.com/es/inmueble/20582/cl-22-22-08
140-118952,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/489/apartamento-en-gestion-monteria-cordoba
140-68016,encontrado,https://www.activosporcolombia.com/es/inmueble/16615/manzana-1-lote-18
140-35039,encontrado,https://www.activosporcolombia.com/es/inmueble/26778/apartamento-en-gestion-monteria-cordoba
140-61746,encontrado,https://www.activosporcolombia.com/es/inmueble/13866/casa-en-gestion-monteria-cordoba
140-158976,encontrado,https://www.activosporcolombia.com/es/inmueble/4228/cl-42-1-d-36-lc-1-el-mantial
140-1647,encontrado,https://www.activosporcolombia.com/es/inmueble/14223/casa-en-gestion-monteria-cordoba
140-51460,encontrado,https://www.activosporcolombia.com/es/inmueble/12753/casa-en-venta-monteria
140-56047,encontrado,https://www.activosporcolombia.com/es/inmueble/12766/lote-en-gestion-monteria-cordoba
140-80317,encontrado,https://www.activosporcolombia.com/es/inmueble/14035/finca-en-gestion-monteria-cordoba
143-8689,no_publicado,
148-38153,no_publicado,
148-3570,no_publicado,
157-2357,no_publicado,
148-19742,encontrado,https://www.activosporcolombia.com/es/inmueble/27485/finca-en-venta-sahagun
156-47585,encontrado,https://www.activosporcolombia.com/es/inmueble/5457/casa-en-gestion-facatativa-cundinamarca
156-9221,encontrado,https://www.activosporcolombia.com/es/inmueble/16120/finca-en-gestion-sasaima-cundinamarca
156-65934,encontrado,https://www.activosporcolombia.com/es/inmueble/17160/lote-en-gestion-sasaima-cundinamarca
157-35368,encontrado,https://www.activosporcolombia.com/es/inmueble/18942/lote-en-gestion-fusagasuga-cundinamarca
157-42454,encontrado,https://www.activosporcolombia.com/es/inmueble/30752/lc-102-cc-avenida-las-palmas-av-las-palmas-8-05
157-31000,encontrado,https://www.activosporcolombia.com/es/inmueble/15458/lote-en-gestion-fusagasuga-cundinamarca
157-37936,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/664/lote-en-gestion-fusagasuga-cundinamarca
157-42457,encontrado,https://www.activosporcolombia.com/es/inmueble/33596/lc-05-cr-8-8-10-ed-centro-comercial
157-47544,encontrado,https://www.activosporcolombia.com/es/inmueble/21677/finca-en-venta-fusagasuga
157-42460,encontrado,https://www.activosporcolombia.com/es/inmueble/30866/cc-av-cr-8-av-las-palmas-lc-201
157-46843,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/660/lote-en-gestion-fusagasuga-cundinamarca
157-42458,encontrado,https://www.activosporcolombia.com/es/inmueble/33604/lc-6-ed-cc-av-av-las-palmas-cr-8
157-50452,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/912/unidad-inmobiliaria-515190
157-50453,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/912/unidad-inmobiliaria-515190
157-67351,encontrado,https://www.activosporcolombia.com/es/inmueble/11614/lote-en-gestion-arbelaez-cundinamarca
157-54291,encontrado,https://www.activosporcolombia.com/es/inmueble/8628/lote-en-gestion-fusagasuga-cundinamarca
160-7346,no_publicado,
166-12561,encontrado,https://www.activosporcolombia.com/es/inmueble/19062/casa-en-gestion-la-mesa-cundinamarca
157-9244,encontrado,https://www.activosporcolombia.com/es/inmueble/30849/cs-lt-cr-7-7-26-fusagasuga
166-3218,encontrado,https://www.activosporcolombia.com/es/inmueble/21774/casa-en-venta-el-colegio
166-53257,encontrado,https://www.activosporcolombia.com/es/inmueble/35922/casa-lote-en-gestion-anapoima-cundinamarca
176-119728,encontrado,https://www.activosporcolombia.com/es/inmueble/13659/lt-1
176-103813,encontrado,https://www.activosporcolombia.com/es/inmueble/23080/casa-en-gestion-sopo-cundinamarca
176-119730,encontrado,https://www.activosporcolombia.com/es/inmueble/13691/lt-3
176-119729,encontrado,https://www.activosporcolombia.com/es/inmueble/13673/lt-2
176-62057,no_publicado,
176-61947,no_publicado,
176-130305,no_publicado,
180-21852,no_publicado,
176-119731,encontrado,https://www.activosporcolombia.com/es/inmueble/13710/lt-4
200-128508,no_publicado,
176-62251,encontrado,https://www.activosporcolombia.com/es/inmueble/638/lote-en-venta-sopo-cundinamarca
200-128502,no_publicado,
176-119732,encontrado,https://www.activosporcolombia.com/es/inmueble/13731/lt-area-de-reserva-para-vi-de-acceso
192-24513,encontrado,https://www.activosporcolombia.com/es/inmueble/26283/casa-lote-en-gestion-pelaya-cesar
190-85028,encontrado,https://www.activosporcolombia.com/es/inmueble/15731/casa-en-gestion-valledupar-cesar
200-100281,encontrado,https://www.activosporcolombia.com/es/inmueble/194/casa-en-venta-neiva
200-161345,encontrado,https://www.activosporcolombia.com/es/inmueble/195/casa-en-venta-neiva
200-16507,no_publicado,
200-233343,no_publicado,
200-20418,encontrado,https://www.activosporcolombia.com/es/inmueble/21762/local-comercial-en-gestion-neiva-huila
200-213518,encontrado,https://www.activosporcolombia.com/es/inmueble/462/avaluo-en-gestion-neiva-huila
200-180041,encontrado,https://www.activosporcolombia.com/es/inmueble/37879/casa-en-venta-neiva-huila
200-194800,encontrado,https://www.activosporcolombia.com/es/inmueble/214/lote-en-venta-neiva-huila
200-163929,encontrado,https://www.activosporcolombia.com/es/inmueble/463/avaluo-en-gestion-neiva-huila
200-27033,no_publicado,
200-180080,encontrado,https://www.activosporcolombia.com/es/inmueble/356/casa-en-venta-neiva-huila
200-36243,no_publicado,
206-7716,no_publicado,
202-65424,no_publicado,
200-44657,no_publicado,
200-70648,encontrado,https://www.activosporcolombia.com/es/inmueble/17358/bodega-en-venta-neiva
206-56088,encontrado,https://www.activosporcolombia.com/es/inmueble/33952/lote-en-gestion-pitalito-huila
210-11051,encontrado,https://www.activosporcolombia.com/es/inmueble/36494/casa-en-gestion-riohacha-la-guajira
200-44050,encontrado,https://www.activosporcolombia.com/es/inmueble/5932/lote-en-venta-neiva
210-32084,encontrado,https://www.activosporcolombia.com/es/inmueble/8116/casa-en-gestion-riohacha-la-guajira
210-42954,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/609/casa-en-gestion-riohacha-la-guajira
210-7695,encontrado,https://www.activosporcolombia.com/es/inmueble/7770/lote-con-construccion-en-gestion-riohacha-la-guajira
210-42989,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/609/casa-en-gestion-riohacha-la-guajira
212-14128,no_publicado,
212-4674,no_publicado,
212-9564,no_publicado,
230-12289,encontrado,https://www.activosporcolombia.com/es/inmueble/12063/kr-39-25-90
230-111965,encontrado,https://www.activosporcolombia.com/es/inmueble/14341/casa-recreo-en-gestion-villavicencio-meta
230-149897,encontrado,https://www.activosporcolombia.com/es/inmueble/822/cl-5-sur-26-26-cs-9-multifamiliar-baja-altura-4
230-16131,encontrado,https://www.activosporcolombia.com/es/inmueble/10042/kr-39-7-d-17-19-21-mz-52-cs-17
230-111966,encontrado,https://www.activosporcolombia.com/es/inmueble/14349/lote-en-venta-villavicencio
230-156065,encontrado,https://www.activosporcolombia.com/es/inmueble/29637/casa-en-gestion-villavicencio-meta
230-18020,encontrado,https://www.activosporcolombia.com/es/inmueble/29/casa-en-venta-villavicencio-meta
230-135751,encontrado,https://www.activosporcolombia.com/es/inmueble/25601/local-comercial-en-gestion-villavicencio-meta
230-210940,no_publicado,
230-210946,no_publicado,
230-210941,no_publicado,
230-210942,no_publicado,
230-210945,no_publicado,
230-210943,no_publicado,
230-210949,no_publicado,
230-210947,no_publicado,
230-210948,no_publicado,
230-210944,encontrado,https://www.activosporcolombia.com/es/inmueble/3906/lote-en-gestion-restrepo-meta
230-210957,no_publicado,
230-210952,encontrado,https://www.activosporcolombia.com/es/inmueble/3988/lote-en-gestion-restrepo-meta
230-210950,encontrado,https://www.activosporcolombia.com/es/inmueble/3952/lote-en-gestion-restrepo-meta
230-210964,no_publicado,
230-210955,encontrado,https://www.activosporcolombia.com/es/inmueble/4008/lote-en-gestion-restrepo-meta
230-210956,encontrado,https://www.activosporcolombia.com/es/inmueble/4029/lote-en-gestion-restrepo-meta
230-210958,no_publicado,
230-210951,encontrado,https://www.activosporcolombia.com/es/inmueble/3964/lote-en-gestion-restrepo-meta
230-33347,no_publicado,
230-63381,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/819/lote-en-gestion-villavicencio-meta
230-60406,encontrado,https://www.activosporcolombia.com/es/inmueble/24138/local-comercial-en-gestion-villavicencio-meta
230-21819,encontrado,https://www.activosporcolombia.com/es/inmueble/40/parqueadero-en-venta-en-villavivencio-meta
230-63380,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/819/lote-en-gestion-villavicencio-meta
230-55183,encontrado,https://www.activosporcolombia.com/es/inmueble/21281/kr-41-51-107-sur
230-6333,encontrado,https://www.activosporcolombia.com/es/inmueble/543/casa-recreo-en-venta-villavicencio
230-65626,encontrado,https://www.activosporcolombia.com/es/inmueble/11195/lc-c-lt-3-ps-5-cl-37-a-19-b-97
230-68036,encontrado,https://www.activosporcolombia.com/es/inmueble/33583/apartamento-en-venta-villavicencio
232-38326,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/93/lote-en-venta-guamal-meta
232-10132,encontrado,https://www.activosporcolombia.com/es/inmueble/11209/finca-en-gestion-acacias-meta
230-92709,encontrado,https://www.activosporcolombia.com/es/inmueble/32066/lote-en-gestion-villavicencio-meta
232-10958,encontrado,https://www.activosporcolombia.com/es/inmueble/6150/casa-en-gestion-acacias-meta
230-86630,encontrado,https://www.activosporcolombia.com/es/inmueble/472/casa-en-venta-villavicencio
232-32964,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/93/lote-en-venta-guamal-meta
230-85728,encontrado,https://www.activosporcolombia.com/es/inmueble/28/lote-en-venta-villavicencio-meta
232-17266,encontrado,https://www.activosporcolombia.com/es/inmueble/10699/finca-en-gestion-guamal-meta
236-9986,encontrado,https://www.activosporcolombia.com/es/inmueble/32948/local-comercial-en-gestion-granada-meta
232-38327,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/93/lote-en-venta-guamal-meta
240-104375,encontrado,https://www.activosporcolombia.com/es/inmueble/3015/edificio-en-gestion-pasto-narino
240-193460,encontrado,https://www.activosporcolombia.com/es/inmueble/4338/casa-en-gestion-pasto-narino
244-42100,encontrado,https://www.activosporcolombia.com/es/inmueble/181/casa-en-venta-ipiales
240-61215,encontrado,https://www.activosporcolombia.com/es/inmueble/36073/casa-en-gestion-pasto-narino
232-6278,encontrado,https://www.activosporcolombia.com/es/inmueble/25589/casa-en-venta-acacias
240-93196,encontrado,https://www.activosporcolombia.com/es/inmueble/6933/edificio-en-venta-pasto
244-43977,encontrado,https://www.activosporcolombia.com/es/inmueble/180/casa-en-venta-ipiales-narino
260-116327,encontrado,https://www.activosporcolombia.com/es/inmueble/11772/local-comercial-en-venta-cucuta
244-82073,encontrado,https://www.activosporcolombia.com/es/inmueble/539/parqueadero-comercial-en-venta-ipiales
260-15131,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/811/lote-en-gestion-san-jose-de-cucuta-norte-de-santander
260-146489,encontrado,https://www.activosporcolombia.com/es/inmueble/16075/casa-en-gestion-san-jose-de-cucuta-norte-de-santander
260-175061,encontrado,https://www.activosporcolombia.com/es/inmueble/32400/cl-41-4-08-mz-7-lt-1-ur-trigal
244-96759,encontrado,https://www.activosporcolombia.com/es/inmueble/212/lote-con-construccion-en-venta-ipiales
260-175062,encontrado,https://www.activosporcolombia.com/es/inmueble/32405/cl-41-414-cs-2-mz-07-cj-residencial-el-trigal-del
260-176022,no_publicado,
260-176024,no_publicado,
260-236587,no_publicado,
260-245997,no_publicado,
260-246065,no_publicado,
260-246058,no_publicado,
260-266973,no_publicado,
260-191899,encontrado,https://www.activosporcolombia.com/es/inmueble/18317/casa-en-venta-cucuta
270-14325,encontrado,https://www.activosporcolombia.com/es/inmueble/20480/local-comercial-en-gestion-ocana-norte-de-santander
260-257249,encontrado,https://www.activosporcolombia.com/es/inmueble/12333/casa-en-venta-cucuta
260-247151,encontrado,https://www.activosporcolombia.com/es/inmueble/12331/casa-en-venta-cucuta
260-247393,encontrado,https://www.activosporcolombia.com/es/inmueble/14467/casa-en-venta-cucuta
260-277232,encontrado,https://www.activosporcolombia.com/es/inmueble/32426/av-variante-la-floresta-6-57-cs-17
270-50197,encontrado,https://www.activosporcolombia.com/es/inmueble/30076/calle-11-esquina-cra-13-suite-residencial-201-edificio-mixto-azul
280-162187,encontrado,https://www.activosporcolombia.com/es/inmueble/11629/casa-6-calle-19-norte-no-10-41-manzana-i
280-178388,no_publicado,
280-187343,no_publicado,
280-172265,no_publicado,
280-187420,no_publicado,
280-166884,encontrado,https://www.activosporcolombia.com/es/inmueble/7520/cr-19-21n-48
280-230922,no_publicado,
280-230923,no_publicado,
280-2083,encontrado,https://www.activosporcolombia.com/es/inmueble/22491/casa-en-venta-armenia
280-230925,no_publicado,
280-230924,no_publicado,
280-230927,no_publicado,
280-230926,no_publicado,
280-230929,no_publicado,
280-230928,no_publicado,
280-98157,no_publicado,
284-7015,no_publicado,
280-2861,encontrado,https://www.activosporcolombia.com/es/inmueble/17109/ap-301-ed-la-pola-armenia-cr-15-22-43
280-59558,encontrado,https://www.activosporcolombia.com/es/inmueble/22612/casa-en-venta-armenia
